x,y,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
0.115,0.0,9.095,13.295,17.325,0,11.313121212,16.900363636,19.953969697
0.345,0.0,9.04,13.345,17.415,0,11.258121212,16.950363636,20.043969697
0.575,0.0,9.475,13.62,17.65,0,11.693121212,17.225363636,20.278969697
0.8049999999999999,0.0,9.995,13.895,17.96,0,12.213121212,17.500363636,20.588969697
1.035,0.0,9.93,13.87,17.805,0,12.148121212,17.475363635999997,20.433969697
1.265,0.0,10.0,13.935,17.625,0,12.218121212,17.540363636000002,20.253969697
1.495,0.0,10.1,13.915,17.665,0,12.318121212,17.520363636,20.293969697
1.725,0.0,9.855,13.675,17.715,0,12.073121212,17.280363635999997,20.343969697
1.955,0.0,10.05,14.09,18.135,0,12.268121212,17.695363636,20.763969697
2.185,0.0,10.385,14.65,18.58,0,12.603121212,18.255363636,21.208969697
2.415,0.0,10.355,14.585,18.535,0,12.573121212,18.190363636,21.163969697
2.645,0.0,10.695,14.670000000000002,18.665,0,12.913121212,18.275363636,21.293969697
2.875,0.0,11.135,14.935,18.97,0,13.353121212,18.540363636,21.598969697
3.105,0.0,11.065,14.895,19.02,0,13.283121212,18.500363636000003,21.648969697
3.335,0.0,11.2,15.07,19.265,0,13.418121212,18.675363636,21.893969697
3.565,0.0,11.32,15.375,19.42,0,13.538121212,18.980363636,22.048969697
3.795,0.0,10.86,15.06,19.115,0,13.078121212,18.665363636,21.743969697
4.025,0.0,10.99,14.915,19.04,0,13.208121212,18.520363636,21.668969697
4.255,0.0,11.385000000000002,15.079999999999998,19.23,0,13.603121212,18.685363636,21.858969697
4.484999999999999,0.0,10.86,14.81,18.975,0,13.078121212,18.415363636,21.603969697
4.715,0.0,10.78,14.87,19.08,0,12.998121212,18.475363636,21.708969697
4.945,0.0,10.99,15.025,19.265,0,13.208121212,18.630363636,21.893969697
5.175,0.0,10.455,14.635000000000002,18.86,0,12.673121212,18.240363636,21.488969697
5.404999999999999,0.0,10.255,14.475,18.675,0,12.473121212,18.080363636,21.303969697
5.635,0.0,10.68,14.535,18.675,0,12.898121212,18.140363636,21.303969697
