x,y,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
0.1064814815,0.0,8.879999999999999,12.47,16.03,0,11.098121212,16.075363636,18.658969697
0.425925926,0.0,9.305,12.74,16.09,0,11.523121212,16.345363636000002,18.718969697
0.851851852,0.0,9.83,12.83,15.92,0,12.048121212,16.435363635999998,18.548969697
1.1712962965,0.0,9.72,12.535,15.63,0,11.938121212,16.140363636,18.258969697
1.3842592594999998,0.0,9.33,12.225,15.415,0,11.548121212,15.830363636,18.043969697
1.5972222225,0.0,9.205,12.15,15.329999999999998,0,11.423121212,15.755363636,17.958969697
1.8101851855,0.0,9.255,12.14,15.22,0,11.473121212,15.745363636,17.848969697
2.0231481485,0.0,9.355,12.15,15.13,0,11.573121212,15.755363635999998,17.758969696999998
2.2361111115,0.0,9.355,12.105,15.1,0,11.573121212,15.710363636,17.728969696999997
2.4490740744999995,0.0,9.15,11.92,15.025,0,11.368121212,15.525363636,17.653969697
2.6620370375,0.0,8.875,11.72,14.905,0,11.093121212,15.325363636,17.533969697
2.875,0.0,8.82,11.665,14.86,0,11.038121212,15.270363636,17.488969697
3.0879629625,0.0,8.815,11.655,14.905,0,11.033121212,15.260363636,17.533969697
3.3009259255,0.0,8.82,11.69,14.935,0,11.038121212,15.295363636,17.563969696999997
3.5138888884999995,0.0,8.995000000000001,11.895,14.95,0,11.213121212,15.500363636,17.578969696999998
3.7268518515,0.0,8.969999999999999,11.89,14.86,0,11.188121212,15.495363636,17.488969697
3.9398148145,0.0,9.1,11.795,14.81,0,11.318121212,15.400363636,17.438969696999997
4.1527777775,0.0,9.31,11.785,14.86,0,11.528121212,15.390363636,17.488969697
4.3657407405,0.0,8.79,11.62,14.79,0,11.008121212,15.225363636,17.418969697
4.5787037035,0.0,8.64,11.67,14.89,0,10.858121212,15.275363636,17.518969697
4.791666666499999,0.0,9.015,11.855,14.97,0,11.233121212,15.460363636,17.598969697
5.0046296295,0.0,9.125,11.785,14.815,0,11.343121212,15.390363636,17.443969697
5.2175925925,0.0,9.285,11.760000000000002,14.85,0,11.503121212,15.365363636,17.478969697
