x,y,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
0.106481482,0,7.68097524,10.84017524,13.97297524,0,9.899096452,14.44553888,16.40194494
0.425925926,0,8.106682219,11.12948222,14.07748222,0,10.32480343,14.73484585,16.50645192
0.851851852,0,8.554744016,11.19474402,13.91394402,0,10.77286523,14.80010765,16.44291371
1.171296297,0,8.40134761,10.87854761,13.60214761,0,10.61946882,14.48391125,16.23111731
1.384259259,0,8.122387103,10.6699871,13.4771871,0,10.34050832,14.27535074,16.1061568
1.597222223,0,8.065297172,10.65689717,13.45529717,0,10.28341838,14.26226081,16.08426687
1.810185186,0,8.107128688,10.64592869,13.35632869,0,10.3252499,14.25129232,15.98529838
2.023148149,0,8.186416508,10.64601651,13.26841651,0,10.40453772,14.25138014,15.89738621
2.236111112,0,8.132480208,10.55248021,13.18808021,0,10.35060142,14.15784384,15.8170499
2.449074074,0,7.953207549,10.39080755,13.12320755,0,10.17132876,13.99617119,15.75217725
2.662037038,0,7.757415398,10.2610154,13.0638154,0,9.97553661,13.86637903,15.69278509
2.875,0,7.669735477,10.17333548,12.98493548,0,9.887856689,13.77869911,15.61390517
3.087962963,0,7.622739342,10.12193934,12.98193934,0,9.840860554,13.72730298,15.61090904
3.300925926,0,7.602023662,10.12762366,12.98322366,0,9.820144874,13.7329873,15.61219336
3.513888888,0,7.744918945,10.29691894,12.98531894,0,9.963040157,13.90228258,15.61428864
3.726851852,0,7.784964706,10.35456471,12.96816471,0,10.00308592,13.95992834,15.5971344
3.939814815,0,7.952309748,10.32390975,12.97710975,0,10.17043096,13.92927338,15.60607945
4.152777778,0,8.106493045,10.28449305,12.99049305,0,10.32461426,13.88985668,15.61946274
4.365740741,0,7.647832332,10.13823233,12.92783233,0,9.865953544,13.74359597,15.55680203
4.578703704,0,7.534642987,10.20104299,13.03464299,0,9.752764199,13.80640662,15.66361268
4.791666666,0,7.862725199,10.3619252,13.1031252,0,10.08084641,13.96728884,15.7320949
5.00462963,0,7.988583616,10.32938362,12.99578362,0,10.20670483,13.93474725,15.62475331
5.217592593,0,8.068259001,10.246259,12.965459,0,10.28638021,13.85162264,15.5944287
