x,y,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
0.130681818,0.0,7.715,11.395,14.725,0,9.933121212,15.000363636,17.353969696999997
0.3920454545,0.0,7.775,11.455,14.805,0,9.993121212,15.060363636,17.433969697
0.653409091,0.0,8.125,11.555,14.875,0,10.343121212,15.160363636,17.503969697
0.914772727,0.0,8.365,11.56,15.055,0,10.583121212,15.165363636,17.683969697000002
1.1761363635,0.0,8.035,11.43,15.215,0,10.253121212,15.035363636,17.843969697
1.4375,0.0,7.765000000000001,11.57,15.315,0,9.983121212,15.175363636,17.943969697
2.0909090910000003,0.0,7.9,11.85,15.27,0,10.118121212,15.455363636,17.898969697
2.744318182,0.0,8.254999999999999,11.735,15.105,0,10.473121212,15.340363636,17.733969697
3.005681818,0.0,8.22,11.54,15.17,0,10.438121212,15.145363636,17.798969696999997
3.2670454545000007,0.0,7.66,11.41,15.09,0,9.878121212,15.015363636,17.718969697
3.5284090910000003,0.0,7.62,11.46,14.905,0,9.838121212,15.065363636,17.533969697
3.789772727000001,0.0,8.12,11.55,14.875,0,10.338121212,15.155363636,17.503969697000002
4.0511363635,0.0,8.37,11.48,14.975,0,10.588121212,15.085363636,17.603969697
4.3125,0.0,8.100000000000001,11.415,15.025,0,10.318121212,15.020363636,17.653969697
4.5738636365000005,0.0,7.625000000000001,11.265,14.82,0,9.843121212,14.870363636,17.448969697000003
4.835227273000001,0.0,7.585000000000001,11.065,14.595,0,9.803121212,14.670363636,17.223969697
