x,y,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0,elevation,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0
730831.3631,5026215.906,12.54214414,19.78686411,23.72296359,4.9,10.04166479,14.7504208,19.36706532
730831.2753,5026214.95,12.54214414,19.40686411,22.89296359,4.9,9.97166479,14.7204208,19.41706532
730831.1787,5026213.98,12.66214414,19.06686411,22.12296359,4.91,10.02166479,14.9804208,19.62706532
730831.1101,5026213.034,12.84214414,19.16686411,22.16296359,4.92,10.53166479,15.2404208,19.63706532
730831.0406,5026212.077,12.45214414,18.96686411,22.54296359,4.91,10.18166479,14.8104208,19.08706532
730830.9981,5026211.132,12.20214414,18.50686411,22.02296359,4.93,9.68166479,14.1304208,18.58706532
730830.9354,5026210.165,11.94214414,18.36686411,21.99296359,4.93,9.68166479,14.1304208,18.58706532
730830.9088,5026209.215,11.99214414,17.97686411,21.19296359,4.94,9.38166479,13.8204208,18.31706532
730830.8926,5026208.263,12.08214414,18.03686411,21.71296359,4.94,9.54166479,13.9204208,18.18706532
730830.8539,5026207.287,11.70214414,17.97686411,21.68296359,4.94,9.82166479,13.8704208,18.14706532
730830.7634,5026206.332,11.87214414,18.02686411,21.46296359,4.95,9.21166479,13.6604208,18.18706532
730830.6533,5026205.375,12.14214414,18.13686411,21.20296359,4.96,9.42166479,13.8804208,18.27706532
730830.5298,5026204.427,12.00214414,18.00686411,21.56296359,4.96,9.51166479,13.8804208,18.18706532
730830.4181,5026203.481,11.77214414,17.83686411,21.46296359,4.96,9.19166479,13.4704208,17.77706532
730830.3397,5026202.516,11.71214414,17.95686411,21.84296359,4.96,9.17166479,13.3804208,17.59706532
730830.2251,5026201.575,11.86214414,18.23686411,21.80296359,4.97,9.16166479,13.3904208,17.65706532
730830.1115,5026200.609,11.85214414,18.44686411,22.07296359,4.96,9.32166479,13.6004208,17.87706532
730830.0422,5026199.644,11.83214414,18.27686411,21.93296359,4.96,9.26166479,13.6604208,17.98706532
730829.9605,5026198.699,11.68214414,18.05686411,21.40296359,4.96,9.26166479,13.6604208,17.98706532
730829.8783,5026197.73,12.04214414,18.14686411,21.43296359,4.97,9.39166479,13.9104208,18.34706532
730829.7685,5026196.766,12.01214414,18.11686411,21.68296359,4.96,9.69166479,14.1504208,18.37706532
730829.7035,5026195.829,11.97214414,18.67686411,21.96296359,4.96,9.70166479,14.0004208,18.18706532
730829.6252,5026194.86,12.15214414,18.15686411,21.78296359,4.96,9.39166479,13.7904208,18.01706532
730829.5332,5026193.91,11.92214414,18.10686411,21.63296359,4.96,9.64166479,13.8204208,17.96706532
730829.4648,5026192.958,11.67214414,18.24686411,21.64296359,4.97,9.18166479,13.4504208,17.66706532
730829.3892,5026191.989,11.73214414,17.84686411,21.49296359,4.97,9.20166479,13.4404208,17.55706532
730829.3004,5026191.022,11.68214414,18.22686411,21.87296359,4.98,9.06166479,13.2604208,17.43706532
