Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,219.93,0,0,24.95,-329.716,28.26,C
1,2,4,5,133.89,0.05,0,24.3,-50.184,28.26,C
1,2,5,6,116.62,0.05,0,-22.41,-80.212,129.645,C
1,2,6,7,154.12,0.03,0,15.95,-53.001,129.645,C
1,2,7,8,160.81,0.11,0,-11.65,-76.245,312.809,C
1,2,8,9,132.84,0.13,0,-2.32,-39.366,312.809,C
1,2,9,10,110.57,0.12,0,-0.77,-22.413,320.96,C
1,2,10,11,166.46,0.08,0,0.88,-23.62,320.96,C
1,2,11,12,140.8,0.12,0,-5.9,-14.09,311.238,C
1,2,12,13,107.12,0.14,0,3.26,-8.04,311.238,C
1,2,13,14,110.43,0.08,0,8.1,-6.422,313.509,C
1,2,14,15,102.41,0.23,0,4.18,-4.68,313.509,C
1,2,15,16,150.15,0.09,0,-14.26,-5.551,317.063,C
1,2,16,17,135.05,0.17,0,3.97,-4.056,317.063,C
1,2,17,18,137.95,0.25,0,-4.93,-3.453,320.779,C
1,2,18,19,135.67,0.05,0,0.83,-2.829,320.779,C
1,2,19,20,96.85,0.24,0,3.1,-1.717,323.749,C
1,2,20,21,145.17,0.08,0,5.42,-2.187,323.749,C
1,2,21,22,123.22,0.33,0,-12.9,-1.605,326.651,C
1,2,22,23,88.99,0.22,0,12.04,-1.001,326.651,C
1,2,23,24,63.89,0.98,0,-9.97,-0.629,328.923,C
2,3,4,5,145.5,0.05,0,23.43,-230.582,29.871,C
2,3,5,6,125.96,0.05,0,-23.44,-49.905,29.871,C
2,3,6,7,165.44,0.04,0,16.18,-102.342,116.602,C
2,3,7,8,168.52,0.04,0,-10.71,-52.123,116.602,C
2,3,8,9,141.72,0.12,0,0.05,-63.958,297.728,C
2,3,9,10,116.45,0.12,0,-0.69,-32.846,297.728,C
2,3,10,11,173.39,0.03,0,0.08,-32.964,301.018,C
2,3,11,12,148.04,0.11,0,-5.98,-19.7,301.018,C
2,3,12,13,115.21,0.13,0,4.76,-11.267,304.157,C
2,3,13,14,114.56,0.03,0,8.52,-8.402,304.157,C
2,3,14,15,109.56,0.1,0,2.78,-6.237,306.913,C
2,3,15,16,166.09,0.18,0,-14.41,-7.429,306.913,C
2,3,16,17,142.37,0.05,0,4.94,-5.137,309.494,C
2,3,17,18,143.45,0.13,0,-4.37,-4.206,309.494,C
2,3,18,19,149.2,0.07,0,1.09,-3.634,312.173,C
2,3,19,20,99.46,0.14,0,2.35,-2.019,312.173,C
2,3,20,21,159.11,0.17,0,6.59,-2.734,313.859,C
2,3,21,22,124.72,0.35,0,-14.66,-1.822,313.859,C
2,3,22,23,103.84,0.09,0,13.84,-1.307,315.465,C
2,3,23,24,57.34,0.35,0,-11.78,-0.623,315.465,C
3,4,2,1,223.69,1.98,0,150.7,43.271,3.646,C
3,4,5,6,143.67,0.08,0,-27.03,-150.83,19.788,C
3,4,6,7,191.15,0.09,0,15.28,-50.168,19.788,C
3,4,7,8,196.3,0.05,0,-10.13,-122.73,117.853,C
3,4,8,9,165.83,0.04,0,0.86,-51.841,117.853,C
3,4,9,10,136.21,0.03,0,-0.17,-56.76,274.912,C
3,4,10,11,202.12,0.05,0,-0.5,-52.639,274.912,C
3,4,11,12,176.3,0.09,0,-5.83,-37.727,338.818,C
3,4,12,13,132.31,0.07,0,5.2,-19.818,338.818,C
3,4,13,14,141.18,0.08,0,9.27,-15.508,341.624,C
3,4,14,15,128.58,0.06,0,1.92,-10.593,341.624,C
3,4,15,16,194.77,0.03,0,-14.28,-12.424,343.878,C
3,4,16,17,170.37,0.15,0,5.26,-8.539,343.878,C
3,4,17,18,174.97,0.11,0,-3.87,-7.054,345.794,C
3,4,18,19,169.34,0.07,0,1.02,-5.547,345.794,C
3,4,19,20,128.17,0.11,0,2.1,-3.481,348.118,C
3,4,20,21,185.83,0,0,6.96,-4.206,348.118,C
3,4,21,22,167.61,0.18,0,-15.48,-3.211,349.91,C
3,4,22,23,103.67,0.17,0,14.47,-1.688,349.91,C
3,4,23,24,92.36,0.06,0,-12.63,-1.294,351.22,C
4,5,1,2,134.53,0.28,0,74.64,-49.245,27.6,C
4,5,2,3,147.57,0.4,0,-317.29,-216.076,27.6,C
4,5,3,6,162.81,0.15,0,641.05,119.169,4.599,C
4,5,6,7,198.98,0.09,0,12.1,-48.547,4.599,C
4,5,7,8,176.2,0.04,0,-10.62,-148.36,63.487,C
4,5,8,9,152.58,0,0,1.29,-51.389,63.487,C
4,5,9,10,118.54,0.06,0,-0.52,-65.7,208.939,C
4,5,10,11,164.57,0.05,0,-1.34,-52.12,208.939,C
4,5,11,12,144,0.04,0,-6.29,-47.607,348.969,C
4,5,12,13,106.36,0.06,0,5.41,-23.442,348.969,C
4,5,13,14,111.92,0.04,0,9.54,-17.422,352.103,C
4,5,14,15,101.77,0.06,0,1.32,-11.521,352.103,C
4,5,15,16,158.36,0.07,0,-14.41,-13.524,354.139,C
4,5,16,17,134.44,0.13,0,5.48,-8.831,354.139,C
4,5,17,18,140.11,0.14,0,-3.7,-7.264,355.746,C
4,5,18,19,135.89,0.08,0,1.02,-5.636,355.746,C
4,5,19,20,100.96,0.12,0,1.84,-3.424,357.977,C
4,5,20,21,143.08,0.11,0,7.3,-3.996,357.977,C
4,5,21,22,130.09,0.06,0,-16.13,-3.039,359.358,C
4,5,22,23,83.54,0.46,0,15.02,-1.644,359.358,C
4,5,23,24,69.74,0.19,0,-13.28,-1.17,360.464,C
5,6,1,2,115.8,0.03,0,122.65,-50.869,82.803,C
5,6,2,3,125.65,0.11,0,-138.72,-137.989,82.803,C
5,6,3,4,142.99,0.2,0,-180.3,-49.464,6.52,C
5,6,4,7,145.74,0.08,0,638.59,151.243,6.52,C
5,6,7,8,163.63,0.03,0,-11.14,-213.214,24.562,C
5,6,8,9,156.02,0.03,0,1.59,-50.826,24.562,C
5,6,9,10,120.6,0,0,-0.75,-78.156,122.159,C
5,6,10,11,160.59,0,0,-1.91,-52.038,122.159,C
5,6,11,12,141.68,0.06,0,-6.69,-66.971,311.849,C
5,6,12,13,102.6,0.08,0,5.53,-30.312,311.849,C
5,6,13,14,107.47,0.03,0,9.79,-21.421,315.606,C
5,6,14,15,98.5,0.08,0,0.93,-13.743,315.606,C
5,6,15,16,152.45,0.06,0,-14.46,-15.648,319.223,C
5,6,16,17,132.28,0.07,0,5.67,-10.182,319.223,C
5,6,17,18,132.13,0.14,0,-3.59,-7.891,321.941,C
5,6,18,19,132.45,0.1,0,1.05,-6.215,321.941,C
5,6,19,20,97.06,0.1,0,1.67,-3.675,324.738,C
5,6,20,21,138.37,0.12,0,7.53,-4.257,324.738,C
5,6,21,22,123.69,0.06,0,-16.57,-3.16,327.468,C
5,6,22,23,84.07,0.04,0,15.4,-1.79,327.468,C
5,6,23,24,65.18,0.18,0,-13.74,-1.176,329.602,C
6,7,1,2,154.1,0,0,134.07,-51.495,125.979,C
6,7,2,3,166.44,0.03,0,-91.26,-111.241,125.979,C
6,7,3,4,191.18,0.04,0,-17.07,-50.122,19.768,C
6,7,4,5,199.17,0.06,0,-208.31,-208.872,19.768,C
6,7,5,8,184.83,0.11,0,559.45,146.294,4.973,C
6,7,8,9,182.98,0.03,0,0.05,-48.277,4.973,C
6,7,9,10,158.88,0.05,0,-0.54,-95.253,45.204,C
6,7,10,11,211.87,0,0,-2.08,-50.811,45.204,C
6,7,11,12,191.27,0,0,-6.75,-130.643,257.493,C
6,7,12,13,134.88,0.04,0,5.77,-52.642,257.493,C
6,7,13,14,140.34,0.05,0,10.07,-41.513,312.242,C
6,7,14,15,128.66,0.1,0,0.68,-25.372,312.242,C
6,7,15,16,194.57,0,0,-14.45,-27.188,316.062,C
6,7,16,17,170.43,0.12,0,5.83,-17.319,316.062,C
6,7,17,18,172.4,0.08,0,-3.46,-13.26,318.959,C
6,7,18,19,170.33,0,0,1.08,-10.078,318.959,C
6,7,19,20,126.33,0.12,0,1.55,-5.875,319.095,C
6,7,20,21,182.68,0.06,0,7.74,-6.797,319.095,C
6,7,21,22,163.89,0.09,0,-16.89,-4.915,316.566,C
6,7,22,23,105.42,0.27,0,15.7,-2.604,316.566,C
6,7,23,24,88.98,0.05,0,-14.09,-1.803,311.603,C
7,8,1,2,160.56,0.04,0,138.78,-52.176,214.395,C
7,8,2,3,169.4,0.03,0,-77.92,-96.338,214.395,C
7,8,3,4,196.41,0.03,0,31.42,-50.373,48.343,C
7,8,4,5,175.85,0.05,0,-44.04,-112.748,48.343,C
7,8,5,6,163.8,0.03,0,-171.75,-48.898,5.627,C
7,8,6,9,175.8,0,0,523.36,157.448,5.627,C
7,8,9,10,167.39,0.09,0,-1.71,-142.034,15.994,C
7,8,10,11,239.66,0.09,0,-2.74,-50.839,15.994,C
7,8,11,12,230.8,0.03,0,-6.63,-149.889,122.417,C
7,8,12,13,160.17,0,0,6.07,-52.009,122.417,C
7,8,13,14,164.3,0,0,10.33,-82.327,330.569,C
7,8,14,15,150.36,0.03,0,0.55,-47.088,330.569,C
7,8,15,16,224.94,0.05,0,-14.49,-46.625,328.197,C
7,8,16,17,199.95,0.06,0,5.96,-29.012,328.197,C
7,8,17,18,197.38,0.1,0,-3.41,-20.989,330.723,C
7,8,18,19,198.03,0.08,0,1.11,-15.793,330.723,C
7,8,19,20,145.4,0.07,0,1.44,-9.013,334.161,C
7,8,20,21,210.9,0.11,0,7.9,-10.271,334.161,C
7,8,21,22,188.08,0.1,0,-17.16,-7.376,336.326,C
7,8,22,23,124.62,0.16,0,15.94,-3.971,336.326,C
7,8,23,24,101.03,0.16,0,-14.38,-2.67,338.785,C
8,9,1,2,132.36,0.05,0,140.65,-41.201,328.586,C
8,9,2,3,141.8,0.03,0,-71.22,-70.622,328.586,C
8,9,3,4,165.68,0.04,0,54.01,-51.273,116.664,C
8,9,4,5,152.02,0,0,-1.68,-94.09,116.664,C
8,9,5,6,156.33,0.05,0,-44.97,-50.027,24.128,C
8,9,6,7,181.77,0,0,-225.61,-232.664,24.128,C
8,9,7,10,179.81,0.11,0,510.54,128.443,4.488,C
8,9,10,11,196.04,0.18,0,-3.12,-46.678,4.488,C
8,9,11,12,200.4,0.04,0,-6.59,-187.991,70.728,C
8,9,12,13,136.95,0.03,0,6.23,-51.386,70.728,C
8,9,13,14,136.43,0.05,0,10.31,-102.743,283.903,C
8,9,14,15,122.93,0.03,0,0.31,-52.902,283.903,C
8,9,15,16,178.96,0,0,-14.59,-56.576,333.705,C
8,9,16,17,161.19,0.06,0,5.98,-33.971,333.705,C
8,9,17,18,153.76,0.03,0,-3.4,-22.921,337.194,C
8,9,18,19,156.14,0.04,0,1.11,-16.928,337.194,C
8,9,19,20,113.48,0.09,0,1.35,-9.134,333.764,C
8,9,20,21,166.16,0.1,0,8.02,-10.287,333.764,C
8,9,21,22,146.52,0.12,0,-17.38,-7.01,328.257,C
8,9,22,23,100.34,0.14,0,16.11,-3.84,328.257,C
8,9,23,24,78.43,0.24,0,-14.61,-2.442,328.61,C
9,10,1,2,110.91,0.07,0,141.57,-22.689,323.91,C
9,10,2,3,116.86,0.06,0,-66.53,-35.86,323.91,C
9,10,3,4,135.74,0.03,0,67.51,-52.01,252.777,C
9,10,4,5,118.09,0,0,12.25,-79.18,252.777,C
9,10,5,6,121.08,0.05,0,-20.52,-51.041,79.461,C
9,10,6,7,157.9,0.03,0,-93.44,-166.41,79.461,C
9,10,7,8,167.02,0.1,0,-221.6,-48.367,5.459,C
9,10,8,11,164.85,0.1,0,551.77,143.216,5.459,C
9,10,11,12,185.98,0.03,0,-4.32,-263.657,26.722,C
