Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,167.9,0.23,0,-30.62,-134.127,15.058,1
1,2,4,5,247.74,0.19,0,11.87,-49.479,15.058,1
1,2,5,6,200.49,0.06,0,-1.76,-91.152,85.698,1
1,2,6,7,225.91,0.06,0,-9.38,-51.354,85.698,1
1,2,7,8,264.1,0.05,0,15.49,-95.879,239.509,1
1,2,8,9,233.81,0,0,-18.89,-53.052,239.509,1
1,2,9,10,406.06,0.08,0,6.97,-102.625,400.17,1
1,2,10,11,234.02,0.1,0,9.94,-41.401,400.17,1
1,2,11,12,235.33,0.12,0,-1.2,-30.688,405.573,1
1,2,12,13,274.83,0.07,0,16.42,-26.879,405.573,1
1,2,13,14,272.21,0.04,0,-20.22,-20.718,410.312,1
1,2,14,15,207.32,0.17,0,5.87,-12.398,410.312,1
1,2,15,16,281.37,0.06,0,0.61,-13.6,414.55,1
1,2,16,17,139.31,0.19,0,-2.17,-5.471,414.55,1
1,2,17,18,219.93,0.09,0,-5.7,-7.134,415.772,1
1,2,18,19,209.58,0.04,0,-7.99,-5.665,415.772,1
1,2,19,20,226.84,0.1,0,14.37,-5.106,411.11,1
1,2,20,21,145.06,0.2,0,0.52,-2.775,411.11,1
1,2,21,22,146.84,0.17,0,2.58,-2.403,410.336,1
1,2,22,23,234.56,0.12,0,-14.39,-3.316,410.336,1
1,2,23,24,96.29,0.21,0,-1.57,-1.189,412.19,1
2,3,4,5,168.9,0.12,0,9.04,-210.016,23.438,1
2,3,5,6,161.97,0.13,0,-0.34,-50.35,23.438,1
2,3,6,7,189.42,0.03,0,-12.03,-83.824,83.414,1
2,3,7,8,232.48,0.04,0,15.54,-51.44,83.414,1
2,3,8,9,212.85,0.04,0,-18.64,-52.204,161.808,1
2,3,9,10,375.56,0.05,0,5.74,-57.569,161.808,1
2,3,10,11,217.93,0,0,13.9,-46.218,335.8,1
2,3,11,12,222.68,0.09,0,-3.96,-33.059,335.8,1
2,3,12,13,261.41,0.1,0,19.2,-28.72,341.698,1
2,3,13,14,259.73,0.13,0,-21.23,-21.401,341.698,1
2,3,14,15,202.04,0.08,0,6.17,-12.984,346.431,1
2,3,15,16,274.64,0.13,0,0.53,-13.867,346.431,1
2,3,16,17,134.75,0.13,0,-1.97,-5.513,350.864,1
2,3,17,18,214.91,0.09,0,-6.49,-7.143,350.864,1
2,3,18,19,205.38,0.13,0,-6.92,-5.662,353.367,1
2,3,19,20,224.86,0.19,0,14.75,-5.166,353.367,1
2,3,20,21,144.34,0.16,0,-0.01,-2.766,349.995,1
