Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,197.75,0.17,0,-21.845,-156.608,14.945,4
1,2,4,5,249.47,0.145,0,5.35,-49.447,14.945,4
1,2,5,6,215.525,0.075,0,-4.1,-119.3555,103.1685,4
1,2,6,7,194.89,0.07,0,-6.645,-51.896,103.1685,4
1,2,7,8,270.205,0.06,0,13,-95.5455,233.4195,4
1,2,8,9,239.625,0.015,0,-21.94,-52.955,233.4195,4
1,2,9,10,320.92,0.055,0,9.61,-78.92,385.4825,4
1,2,10,11,215.865,0.105,0,9.815,-36.9055,385.4825,4
1,2,11,12,222.915,0.11,0,-1.78,-28.054,390.5765,4
1,2,12,13,290.77,0.06,0,5.63,-27.3285,390.5765,4
1,2,13,14,234.14,0.06,0,-11.47,-17.272,395.2315,4
1,2,14,15,216.635,0.1,0,-7.255,-12.4585,395.2315,4
1,2,15,16,232.515,0.055,0,-2.125,-10.9155,399.4585,4
1,2,16,17,187.475,0.165,0,9.575,-7.0255,399.4585,4
1,2,17,18,191.64,0.08,0,-9.705,-6.034,401.46,4
1,2,18,19,195.725,0.07,0,-3.245,-5.1215,401.46,4
1,2,19,20,188.945,0.05,0,5.9,-4.168,400.849,4
1,2,20,21,176.07,0.185,0,10.615,-3.2695,400.849,4
1,2,21,22,155.69,0.165,0,-1.05,-2.4845,400.618,4
1,2,22,23,224.93,0.125,0,-6.595,-3.1075,400.618,4
1,2,23,24,100.73,0.13,0,-4.36,-1.205,399.84,4
2,3,4,5,192.26,0.075,0,3.195,-200.8365,20.0965,4
2,3,5,6,193.825,0.095,0,-3.365,-50.2495,20.0965,4
2,3,6,7,182.17,0.03,0,-7.695,-70.44,72.448,4
2,3,7,8,270.77,0.055,0,15.055,-50.922,72.448,4
2,3,8,9,246.26,0.045,0,-22.225,-68.227,180.277,4
2,3,9,10,326.045,0.025,0,9.45,-54.8175,180.277,4
2,3,10,11,225.92,0.035,0,12.995,-50.146,350.912,4
2,3,11,12,237.925,0.08,0,-2.78,-37.0135,350.912,4
2,3,12,13,317.275,0.08,0,8.095,-36.4455,354.9325,4
2,3,13,14,250.32,0.105,0,-12.335,-21.395,354.9325,4
2,3,14,15,241.765,0.085,0,-6.805,-16.144,358.0655,4
2,3,15,16,253.05,0.095,0,-2.395,-13.169,358.0655,4
2,3,16,17,219.655,0.095,0,10.095,-9.342,360.8835,4
2,3,17,18,205.44,0.175,0,-10.47,-7.0145,360.8835,4
2,3,18,19,219.495,0.085,0,-1.235,-6.2215,362.714,4
2,3,19,20,207.32,0.195,0,4.815,-4.8785,362.714,4
2,3,20,21,206.645,0.17,0,10.94,-4.13,361.54,4
2,3,21,22,177.175,0.1,0,-1.13,-2.998,361.54,4
2,3,22,23,257.24,0.165,0,-5.98,-3.705,359.769,4
2,3,23,24,112.47,0.135,0,-5.35,-1.4035,359.769,4
3,4,2,1,201.085,2.985,0,165.74,44.5205,4.297,4
3,4,5,6,186.78,0.035,0,-7.335,-209.7285,20.925,4
3,4,6,7,184.255,0.035,0,-9.74,-50.7375,20.925,4
3,4,7,8,274.975,0.025,0,15.53,-107.907,73.959,4
3,4,8,9,261.665,0,0,-23.32,-51.3335,73.959,4
3,4,9,10,366.85,0.025,0,8.865,-119.516,224.8315,4
3,4,10,11,250.76,0,0,13.69,-52.3825,224.8315,4
3,4,11,12,268.24,0.04,0,-3.71,-57.5385,341.1985,4
3,4,12,13,347.365,0.085,0,8.495,-52.3795,341.1985,4
3,4,13,14,288.46,0.09,0,-12.925,-32.634,357.577,4
3,4,14,15,271.215,0.085,0,-7.05,-23.299,357.577,4
3,4,15,16,299.28,0.06,0,-2.52,-19.644,360.925,4
3,4,16,17,237.03,0.13,0,9.96,-12.6205,360.925,4
3,4,17,18,245.37,0.07,0,-10.76,-10.202,362.7535,4
3,4,18,19,249.995,0.12,0,-0.61,-8.494,362.7535,4
3,4,19,20,254.81,0.105,0,4.47,-7.061,362.8665,4
3,4,20,21,222.96,0.16,0,10.78,-5.2915,362.8665,4
3,4,21,22,206.52,0.19,0,-0.975,-4.033,357.872,4
3,4,22,23,293.025,0.145,0,-5.97,-4.8225,357.872,4
3,4,23,24,133.37,0.06,0,-5.745,-1.885,355.575,4
4,5,1,2,250.58,0.36,0,60.445,-49.642,14.9395,4
4,5,2,3,194.155,1.075,0,-310.36,-153.6445,14.9395,4
4,5,3,6,212.375,0.13,0,620.095,194.014,5.866,4
4,5,6,7,163.205,0.14,0,-13.75,-48.509,5.866,4
4,5,7,8,258.71,0.015,0,15.085,-123.126,36.7955,4
4,5,8,9,269.755,0,0,-24.085,-50.593,36.7955,4
4,5,9,10,415.905,0.035,0,8.125,-128.691,137.8095,4
4,5,10,11,276.12,0.025,0,14.48,-51.8535,137.8095,4
4,5,11,12,298.805,0.035,0,-4.42,-60.971,228.42,4
4,5,12,13,378.925,0.045,0,9.05,-52.6945,228.42,4
4,5,13,14,326.57,0.05,0,-13.45,-47.9175,341.971,4
4,5,14,15,301.6,0.085,0,-7.08,-32.572,341.971,4
4,5,15,16,346.655,0.07,0,-2.735,-28.0635,346.2345,4
4,5,16,17,249.37,0.08,0,9.985,-16.018,346.2345,4
4,5,17,18,288.295,0.07,0,-11.055,-14.3015,349.397,4
