Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,486.21,0.14,0,6.76,-276.968,10.738,C
1,2,4,5,352.95,0.1,0,-15.94,-50.264,10.738,C
1,2,5,6,274.39,0.03,0,4.26,-115.844,79.579,C
1,2,6,7,246.37,0.05,0,-13.48,-52.006,79.579,C
1,2,7,8,418.22,0,0,-6.68,-77.923,122.922,C
1,2,8,9,447.69,0.03,0,26.12,-52.133,122.922,C
1,2,9,10,417.35,0.09,0,-5.98,-62.015,235.276,C
1,2,10,11,504.48,0.09,0,0.84,-52.473,235.276,C
1,2,11,12,325.06,0.09,0,20.6,-28.399,271.722,C
1,2,12,13,246.22,0.15,0,-17.48,-16.134,271.722,C
1,2,13,14,335.9,0.09,0,-10.01,-17.17,275.576,C
1,2,14,15,342.17,0.03,0,3.59,-13.743,275.576,C
1,2,15,16,283.1,0.06,0,-3.78,-9.191,278.433,C
1,2,16,17,430.63,0,0,-4.49,-11.359,278.433,C
1,2,17,18,186.03,0.04,0,12.92,-4.082,281.245,C
1,2,18,19,118.92,0.33,0,2.86,-2.174,281.245,C
1,2,19,20,386.15,0.07,0,-33.04,-6.005,284.057,C
1,2,20,21,319.13,0.21,0,25.07,-4.219,284.057,C
1,2,21,22,346.63,0.17,0,-1.32,-3.945,285.346,C
1,2,22,23,139.39,0.06,0,-19.99,-1.37,285.346,C
1,2,23,24,116.14,1.08,0,23.85,-1.001,287.854,C
2,3,4,5,316.15,0.03,0,-18.76,-221.416,13.201,C
2,3,5,6,287.86,0.06,0,0.77,-50.4,13.201,C
2,3,6,7,271.62,0.03,0,-13.38,-59.469,41.27,C
2,3,7,8,470.86,0.04,0,-5.12,-51.545,41.27,C
2,3,8,9,517.21,0.04,0,25.5,-84.549,107.848,C
2,3,9,10,505.87,0.03,0,-6.74,-51.685,107.848,C
2,3,10,11,611.92,0.05,0,1.27,-98.327,254.425,C
2,3,11,12,401.5,0.11,0,21.89,-45.161,254.425,C
2,3,12,13,309.04,0.04,0,-18.24,-25.468,256.307,C
2,3,13,14,423.41,0.07,0,-9.26,-26.17,256.307,C
2,3,14,15,438.2,0.04,0,4.66,-20.979,258.098,C
2,3,15,16,368.38,0.04,0,-3.83,-13.857,258.098,C
2,3,16,17,564.29,0.09,0,-7.68,-17.066,259.376,C
2,3,17,18,239.48,0.07,0,15.35,-5.884,259.376,C
2,3,18,19,164.07,0.09,0,2.16,-3.341,261.03,C
2,3,19,20,505.96,0,0,-33.33,-8.587,261.03,C
2,3,20,21,438.12,0.08,0,26.88,-6.279,261.763,C
2,3,21,22,440.52,0.14,0,-1.1,-5.366,261.763,C
2,3,22,23,197.11,0.21,0,-22.3,-2.07,263.23,C
2,3,23,24,140.58,0.41,0,23.17,-1.275,263.23,C
3,4,2,1,497.06,4.04,0,144.97,40.168,1.523,C
3,4,5,6,238.1,0.07,0,-3,-218.224,17.276,C
3,4,6,7,221.94,0.07,0,-14.07,-50.852,17.276,C
3,4,7,8,393.03,0.03,0,-4.07,-88.036,42.222,C
3,4,8,9,462.39,0.05,0,24.79,-51.787,42.222,C
3,4,9,10,454.22,0,0,-7.08,-68.666,99.735,C
3,4,10,11,551.16,0,0,0.9,-52.076,99.735,C
3,4,11,12,369.18,0.21,0,33.97,-59.275,254.218,C
3,4,12,13,283.88,0.28,0,-30.11,-31.905,254.218,C
3,4,13,14,396.6,0.05,0,-8.35,-32.898,257.985,C
3,4,14,15,406.91,0.09,0,4.73,-25.315,257.985,C
3,4,15,16,358.24,0,0,-3.3,-17.336,260.873,C
3,4,16,17,532.52,0.11,0,-9.84,-20.247,260.873,C
3,4,17,18,239.36,0.1,0,17.29,-7.36,263.71,C
3,4,18,19,149.65,0.31,0,1.42,-3.739,263.71,C
3,4,19,20,516.05,0.13,0,-32.98,-10.71,266.025,C
3,4,20,21,392.98,0.03,0,27.16,-6.797,266.025,C
3,4,21,22,456.14,0.21,0,-0.5,-6.692,267.971,C
3,4,22,23,162.39,0.08,0,-23.96,-2.025,267.971,C
3,4,23,24,169.22,0.07,0,23.27,-1.822,269.874,C
4,5,1,2,352.15,0.58,0,114.17,-48.809,10.451,C
4,5,2,3,314.98,0.87,0,-357.67,-174.631,10.451,C
4,5,3,6,250.35,0.07,0,581.29,269.354,6.76,C
4,5,6,7,140.23,0.06,0,-15.36,-50.292,6.76,C
4,5,7,8,253.18,0.04,0,-3.75,-97.272,28.969,C
4,5,8,9,331.41,0.03,0,24.36,-50.931,28.969,C
4,5,9,10,327.03,0.03,0,-7.55,-74.347,85.706,C
4,5,10,11,396.78,0.04,0,0.73,-51.545,85.706,C
